-------------------------当前TTI0----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
44   46.3324    4.0095      0      39      875
45   55.7545    4.77      0.053      57      1075
46   54.4472    4.26465      0.065      36      759
47   51.1767    4.59      0.051      51      1000
48   50.5214    4.36963      0.074      34      700
49   35.2024    6.8      0.068      68      0
50   35.4244    4.26465      0.065      35      738
51   31.258    3.69      0      46      1121
52   33.6073    5.346      0.066      50      841
53   53.4068    5.994      0.074      64      960
54   65.6696    4.07438      0.069      29      640
55   45.2408    4.1553      0.057      51      1104
56   47.404    10.4972      0.132      66      0
57   50.0879    4.6      0.046      46      0
58   18.3742    4.9572      0.068      57      1034
59   61.9213    4.19904      0.064      31      664
60   39.8016    4.72392      0.072      56      1066
61   64.5368    5.7      0.057      57      0
62   44.9365    10.161      0.127      65      0
63   39.3559    9.36104      0.119      57      0
64   14    4.455      0.055      33      666
65   13.0208    3.60199      0.061      52      1299
66   34.5774    3.87099      0.0252857      56      1301
67   68.0298    5.346      0.066      46      774
68   28    4.0095      0      44      987
69   68.8175    5.58      0.062      48      774
70   63.0971    4.33026      0.066      52      1080
71   38.6588    4.19904      0.064      52      1114
72   65.2616    4.86      0.054      49      907
73   31.5078    4.455      0.055      48      969
74   44.4541    4.6656      0.064      44      848
75   47.5846    3.87      0.043      54      1255
76   28.3219    4.617      0.057      45      877
77   57.1433    4.4469      0.061      61      1234
78   47.7696    4.5198      0.062      63      1254
79   24.6197    3.87099      0      39      906
80   33.7165    4.0824      0.056      37      815
81   42.1456    5.346      0.066      51      858
-------------------------当前BBU0----------------------------------
-------------------------当前BBU1----------------------------------
-------------------------当前BBU2----------------------------------
-------------------------当前BBU3----------------------------------
82   16.8582    8.76177      0.119      42      431
